epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12841.2,1.2732,1.33522,1.36952,0.64302,0.54337,0.59654,0.37345,1.39851,1.30749,1.40609,0.00643101,0.00643101,0.00643101
43,13144.8,1.27069,1.33425,1.36876,0.64419,0.54891,0.59764,0.37442,1.39604,1.30369,1.40461,0.00628101,0.00628101,0.00628101
44,13450.3,1.26317,1.32439,1.36153,0.64866,0.54985,0.59842,0.37536,1.3945,1.30017,1.40333,0.00612981,0.00612981,0.00612981
45,13759.6,1.25879,1.31056,1.35835,0.65285,0.55429,0.59915,0.37596,1.39245,1.2955,1.40178,0.00597754,0.00597754,0.00597754
46,14070.3,1.25446,1.30671,1.35589,0.65467,0.55482,0.60059,0.37693,1.39035,1.29272,1.39953,0.00582435,0.00582435,0.00582435
47,14367.1,1.25087,1.29321,1.3525,0.65037,0.55322,0.60181,0.37839,1.38876,1.28984,1.3976,0.0056704,0.0056704,0.0056704
48,14664,1.24375,1.28494,1.34677,0.65248,0.55514,0.60266,0.37951,1.38623,1.28715,1.39478,0.00551584,0.00551584,0.00551584
49,14959.8,1.23596,1.28064,1.34536,0.64859,0.55823,0.60341,0.3806,1.38471,1.28381,1.39293,0.00536081,0.00536081,0.00536081
50,15268,1.23509,1.26994,1.33921,0.66094,0.54733,0.60138,0.3819,1.38241,1.28047,1.39067,0.00520548,0.00520548,0.00520548
51,15582.2,1.23103,1.26131,1.33667,0.6751,0.54092,0.60251,0.38255,1.37985,1.27708,1.38837,0.00505,0.00505,0.00505
52,15888.2,1.22346,1.25272,1.33346,0.66435,0.54643,0.60264,0.38431,1.37788,1.27426,1.38644,0.00489452,0.00489452,0.00489452
53,16185,1.21458,1.23677,1.32636,0.65772,0.55054,0.60329,0.38349,1.37528,1.27181,1.38412,0.00473919,0.00473919,0.00473919
54,16481.7,1.21567,1.2341,1.32578,0.66192,0.54917,0.60487,0.38639,1.37324,1.26814,1.38211,0.00458416,0.00458416,0.00458416
55,16778.7,1.20909,1.22368,1.32283,0.66298,0.55021,0.60514,0.38682,1.3716,1.26411,1.38053,0.0044296,0.0044296,0.0044296
56,17075.1,1.20867,1.21993,1.32011,0.66391,0.55118,0.60564,0.38841,1.37,1.26042,1.37904,0.00427565,0.00427565,0.00427565
57,17370.6,1.19386,1.20758,1.31571,0.66625,0.55134,0.60468,0.39072,1.368,1.25759,1.37716,0.00412246,0.00412246,0.00412246
58,17665.9,1.19113,1.19651,1.31031,0.67693,0.54764,0.60573,0.39192,1.36628,1.25402,1.37545,0.00397019,0.00397019,0.00397019
59,17965.5,1.18736,1.1878,1.30445,0.68258,0.54694,0.60617,0.39268,1.3644,1.25049,1.37363,0.00381899,0.00381899,0.00381899
60,18275,1.18267,1.17835,1.30113,0.70263,0.54013,0.60907,0.39453,1.36293,1.24735,1.37194,0.00366899,0.00366899,0.00366899
61,18595.8,1.17181,1.16393,1.29639,0.69931,0.54425,0.60787,0.39487,1.36161,1.24448,1.37056,0.00352037,0.00352037,0.00352037
62,18909.1,1.17317,1.16353,1.29353,0.67273,0.55353,0.60848,0.39604,1.35894,1.24159,1.36766,0.00337325,0.00337325,0.00337325
63,19232,1.16668,1.15703,1.29251,0.67306,0.55403,0.60945,0.39688,1.35719,1.23807,1.36582,0.00322778,0.00322778,0.00322778
64,19540.7,1.1618,1.14673,1.28734,0.63904,0.57922,0.6119,0.39708,1.35579,1.23472,1.36458,0.00308412,0.00308412,0.00308412
65,19844.3,1.1551,1.12943,1.28063,0.64177,0.58527,0.61256,0.39834,1.35402,1.23142,1.36253,0.00294239,0.00294239,0.00294239
66,20140.8,1.15389,1.12683,1.27869,0.67769,0.57313,0.6146,0.39935,1.35233,1.22856,1.36072,0.00280275,0.00280275,0.00280275
67,20437.4,1.14603,1.12013,1.27541,0.68752,0.57171,0.61521,0.40043,1.35049,1.22545,1.35903,0.00266532,0.00266532,0.00266532
68,20748.6,1.14109,1.11278,1.27072,0.6927,0.56945,0.61549,0.40129,1.34835,1.22234,1.35692,0.00253024,0.00253024,0.00253024
69,21051.9,1.13468,1.10029,1.26631,0.69492,0.56899,0.61568,0.40382,1.34655,1.21935,1.35492,0.00239766,0.00239766,0.00239766
70,21356,1.12697,1.09052,1.26504,0.69192,0.57141,0.61604,0.40493,1.34458,1.21606,1.35281,0.00226769,0.00226769,0.00226769
71,21651.9,1.12015,1.08319,1.26108,0.69108,0.57355,0.61784,0.40657,1.34267,1.21373,1.35074,0.00214046,0.00214046,0.00214046
72,21954.7,1.11132,1.07338,1.25435,0.68859,0.57642,0.6184,0.40771,1.34076,1.21101,1.34871,0.00201611,0.00201611,0.00201611
73,22257.7,1.10845,1.06184,1.25193,0.68748,0.57788,0.6192,0.4086,1.3386,1.20838,1.34655,0.00189475,0.00189475,0.00189475
74,22556.6,1.1011,1.0544,1.24826,0.68924,0.57953,0.61975,0.40906,1.33645,1.20581,1.34466,0.00177651,0.00177651,0.00177651
75,22855.7,1.09395,1.04405,1.24447,0.68772,0.58089,0.61968,0.40988,1.33438,1.20395,1.34265,0.00166149,0.00166149,0.00166149
76,23156.6,1.09128,1.03857,1.2401,0.68801,0.58224,0.62034,0.41067,1.33311,1.20154,1.3411,0.00154982,0.00154982,0.00154982
77,23452.2,1.08625,1.03053,1.2359,0.68814,0.58359,0.62077,0.4111,1.33112,1.1995,1.33917,0.00144161,0.00144161,0.00144161
78,23747.9,1.08289,1.02419,1.23659,0.68714,0.58622,0.62085,0.41142,1.32954,1.19737,1.33753,0.00133695,0.00133695,0.00133695
79,24047.3,1.07861,1.01611,1.22968,0.68632,0.58917,0.62111,0.41184,1.32802,1.19579,1.33578,0.00123596,0.00123596,0.00123596
80,24349.4,1.07252,1.01247,1.22804,0.68547,0.59087,0.62097,0.41207,1.32602,1.1942,1.33395,0.00113873,0.00113873,0.00113873
81,24645.5,1.06481,1.00425,1.22488,0.68686,0.59563,0.6298,0.41403,1.32474,1.19252,1.33266,0.00104537,0.00104537,0.00104537
82,24942.7,1.06201,0.99331,1.22192,0.68418,0.5955,0.62965,0.41388,1.32284,1.19076,1.33076,0.000955951,0.000955951,0.000955951
83,25239,1.05135,0.98993,1.22001,0.68249,0.59605,0.62996,0.41469,1.32092,1.18905,1.32916,0.000870577,0.000870577,0.000870577
84,25536,1.05068,0.98677,1.21743,0.68176,0.59618,0.62973,0.4151,1.3191,1.18791,1.32741,0.000789327,0.000789327,0.000789327
85,25832,1.0492,0.98273,1.21472,0.68005,0.59559,0.63,0.4157,1.31735,1.18619,1.32577,0.000712282,0.000712282,0.000712282
86,26133.7,1.0409,0.97264,1.21194,0.68227,0.5939,0.62996,0.4156,1.31609,1.18419,1.32449,0.000639518,0.000639518,0.000639518
87,26432.3,1.04437,0.97128,1.211,0.69725,0.57857,0.62899,0.41519,1.31452,1.18263,1.32311,0.000571106,0.000571106,0.000571106
88,26729.7,1.04423,0.96737,1.21061,0.69377,0.57373,0.61995,0.41419,1.31294,1.18068,1.32159,0.000507115,0.000507115,0.000507115
89,27025.6,1.03068,0.95602,1.20445,0.70307,0.57363,0.6193,0.41446,1.31167,1.17911,1.32063,0.000447606,0.000447606,0.000447606
90,27331.9,1.03731,0.95781,1.20572,0.70815,0.57323,0.61894,0.41455,1.31035,1.17786,1.31938,0.00039264,0.00039264,0.00039264
91,27644.9,1.06367,0.90303,1.213,0.71064,0.5732,0.6188,0.41486,1.30848,1.17552,1.31757,0.00034227,0.00034227,0.00034227
92,27945.5,1.04898,0.88279,1.20465,0.71027,0.5738,0.62215,0.41738,1.30683,1.17402,1.31623,0.000296546,0.000296546,0.000296546
93,28252.5,1.03968,0.87411,1.19903,0.7104,0.57413,0.62242,0.41799,1.30566,1.17302,1.31517,0.000255513,0.000255513,0.000255513
94,28559.3,1.03444,0.86508,1.19359,0.7104,0.57542,0.62281,0.41845,1.30453,1.17182,1.31425,0.000219212,0.000219212,0.000219212
95,28857.7,1.03053,0.86116,1.19105,0.70872,0.57649,0.62251,0.41714,1.3033,1.1706,1.31323,0.000187678,0.000187678,0.000187678
96,29162.3,1.02828,0.85693,1.19069,0.71891,0.5789,0.63272,0.41901,1.30222,1.16949,1.31205,0.000160943,0.000160943,0.000160943
97,29468.9,1.02698,0.85183,1.1892,0.71931,0.57857,0.63295,0.41956,1.30109,1.16822,1.31082,0.000139032,0.000139032,0.000139032
98,29775.6,1.02491,0.85044,1.18785,0.72163,0.57814,0.63298,0.41968,1.30035,1.16719,1.31007,0.000121968,0.000121968,0.000121968
99,30081.6,1.01952,0.84541,1.18354,0.7219,0.57772,0.63293,0.42071,1.29906,1.16646,1.30872,0.000109768,0.000109768,0.000109768
100,30388.1,1.02022,0.84499,1.18414,0.7252,0.57613,0.63273,0.42114,1.29853,1.16524,1.30829,0.000102443,0.000102443,0.000102443
